"","BEGIN_YEARMONTH","BEGIN_DAY","BEGIN_TIME","BEGIN_DATE_TIME","CZ_TIMEZONE","YEAR","STATE","Code","EVENT_TYPE","CZ_NAME","TOR_F_SCALE","BEGIN_LAT","BEGIN_LON","timestamp","avg_estimated_wind","F_scale"
"77",195305,11,1610,"11-MAY-53 16:10:00","CST",1953,"TEXAS","TX","TORNADO","MCLENNAN","F5",31.55,-97.15,1953-05-11 16:10:00,289.5,"F5, 261-318 mph"
"78",195305,11,1830,"11-MAY-53 18:30:00","CST",1953,"TEXAS","TX","TORNADO","LEON","F2",31.32,-96.22,1953-05-11 18:30:00,13,"F2, 113-157 mph"
"79",195305,16,1430,"16-MAY-53 14:30:00","CST",1953,"TEXAS","TX","TORNADO","HOUSTON","F3",31.23,-95.57,1953-05-16 14:30:00,182,"F3, 158-206 mph"
"80",195305,18,1500,"18-MAY-53 15:00:00","CST",1953,"TEXAS","TX","TORNADO","CHEROKEE","FX",31.8,-95.4,1953-05-18 15:00:00,56,"F?"
"81",195305,31,2100,"31-MAY-53 21:00:00","CST",1953,"TEXAS","TX","TORNADO","SWISHER","F1",34.5,-101.8,1953-05-31 21:00:00,92.5,"F1, 73-112 mph"
"82",195404,30,955,"30-APR-54 09:55:00","CST",1954,"TEXAS","TX","TORNADO","NACOGDOCHES","F2",31.37,-94.47,1954-04-30 09:55:00,13,"F2, 113-157 mph"
"83",195404,30,1000,"30-APR-54 10:00:00","CST",1954,"TEXAS","TX","TORNADO","MORRIS","F3",32.92,-94.72,1954-04-30 10:00:00,182,"F3, 158-206 mph"
"84",195404,30,1005,"30-APR-54 10:05:00","CST",1954,"TEXAS","TX","TORNADO","CASS","F3",32.93,-94.67,1954-04-30 10:05:00,182,"F3, 158-206 mph"
"85",195404,30,1030,"30-APR-54 10:30:00","CST",1954,"TEXAS","TX","TORNADO","BOWIE","F3",33.4,-94.63,1954-04-30 10:30:00,182,"F3, 158-206 mph"
"86",195405,1,1415,"01-MAY-54 14:15:00","CST",1954,"TEXAS","TX","TORNADO","FOARD","F4",33.98,-99.72,1954-05-01 14:15:00,233.5,"F4, 207-260 mph"
